iter	RMSE
0	12.18985887
1	11.87663389
2	11.59408122
3	11.33700664
4	11.11530511
5	10.92046614
6	10.74490141
7	10.58457063
8	10.44813945
9	10.31824111
10	10.20808815
11	10.10277616
12	10.00984189
13	9.93156389
14	9.854598416
15	9.788422587
16	9.723580005
17	9.660640588
18	9.610816902
19	9.558553066
20	9.506389857
21	9.465607797
22	9.417127812
23	9.377442424
24	9.34043678
25	9.306808329
26	9.274323496
27	9.245015791
28	9.207851928
29	9.169050966
30	9.133788627
31	9.105950661
32	9.083631868
33	9.067470385
34	9.044624264
35	9.023454056
36	9.003396899
37	8.980793541
38	8.961204712
39	8.934581046
40	8.919261901
41	8.907386587
42	8.892237389
43	8.870843482
44	8.856425161
45	8.833983437
46	8.820852698
47	8.80934061
48	8.79454068
49	8.786001124
50	8.773895005
51	8.7554697
52	8.730483806
53	8.709159324
54	8.695591902
55	8.683832536
56	8.676754906
57	8.662368594
58	8.649747194
59	8.641044552
60	8.634684692
61	8.623391417
62	8.60943132
63	8.589946222
64	8.573730325
65	8.564015251
66	8.553150713
67	8.542368086
68	8.538447982
69	8.532592901
70	8.520524408
71	8.513334058
72	8.50936368
73	8.506365859
74	8.498803865
75	8.488307316
76	8.482675274
77	8.463564872
78	8.456710419
79	8.446130017
80	8.439088533
81	8.428066233
82	8.416486637
83	8.409921744
84	8.405640136
85	8.395359935
86	8.389976187
87	8.375638126
88	8.357451745
89	8.352889448
90	8.343811399
91	8.33529058
92	8.335155506
93	8.327992308
94	8.325309647
95	8.321219459
96	8.306824666
97	8.297316034
98	8.288841253
99	8.283672419
100	8.271134272
101	8.267625338
102	8.267086561
103	8.262168071
104	8.257129586
105	8.255851845
106	8.249760515
107	8.244093116
108	8.237147598
109	8.236361614
110	8.226724215
111	8.220223655
112	8.218119115
113	8.209938831
114	8.203235663
115	8.195042566
116	8.187145907
117	8.179470749
118	8.172967712
119	8.165586068
120	8.155923291
121	8.154211883
122	8.13751424
123	8.13158952
124	8.130047742
125	8.123069902
126	8.122994357
127	8.110830702
128	8.097665572
129	8.091517122
130	8.07925165
131	8.063760504
132	8.055271653
133	8.044042999
134	8.034862162
135	8.024268483
136	8.007167673
137	7.997757334
138	7.973716797
139	7.958757618
140	7.950122799
141	7.933118363
142	7.921726519
143	7.913253443
144	7.902083472
145	7.89352811
146	7.885330698
147	7.875983601
148	7.870108147
149	7.865828612
150	7.863442923
151	7.850702997
152	7.843200309
153	7.831549931
154	7.829233663
155	7.825858549
156	7.809621515
157	7.797664364
158	7.792693852
159	7.790919739
160	7.779724044
161	7.764846686
162	7.760310614
163	7.75803201
164	7.753166895
165	7.745867785
166	7.737419424
167	7.735926751
168	7.72947507
169	7.721998055
170	7.708811433
171	7.700314
172	7.69555487
173	7.6937222
174	7.684602038
175	7.670555938
176	7.65990115
177	7.658981595
178	7.655819802
179	7.651131543
180	7.638036868
181	7.629315417
182	7.616198336
183	7.610354678
184	7.604037082
185	7.602248751
186	7.600996918
187	7.599377873
188	7.58763626
189	7.583081881
190	7.574068966
191	7.567916033
192	7.567664015
