iter	Passed	Remaining
0	26	26634
1	50	25428
2	74	24891
3	99	24704
4	124	24845
5	146	24348
6	168	23889
7	196	24365
8	221	24377
9	245	24269
10	269	24222
11	293	24150
12	317	24133
13	342	24101
14	366	24049
15	390	23986
16	416	24098
17	442	24139
18	468	24163
19	490	24040
20	511	23857
21	532	23670
22	553	23525
23	575	23384
24	597	23293
25	620	23238
26	642	23145
27	663	23019
28	684	22913
29	705	22798
30	726	22699
31	746	22582
32	766	22457
33	786	22347
34	807	22257
35	831	22267
36	852	22180
37	873	22106
38	895	22057
39	916	21984
40	936	21904
41	956	21826
42	978	21767
43	1004	21823
44	1024	21751
45	1049	21773
46	1070	21708
47	1091	21643
48	1112	21582
49	1132	21518
50	1153	21464
51	1174	21419
52	1196	21372
53	1217	21326
54	1238	21279
55	1262	21289
56	1283	21237
57	1307	21239
58	1328	21188
59	1349	21140
60	1369	21083
61	1390	21034
62	1410	20983
63	1431	20940
64	1453	20902
65	1477	20909
66	1498	20862
67	1518	20815
68	1539	20773
69	1560	20726
70	1581	20696
71	1602	20659
72	1622	20604
73	1642	20559
74	1663	20514
75	1686	20500
76	1707	20465
77	1728	20426
78	1748	20386
79	1770	20356
80	1790	20312
81	1811	20274
82	1831	20238
83	1852	20203
84	1873	20166
85	1897	20170
86	1918	20134
87	1939	20103
88	1960	20071
89	1981	20033
90	2007	20048
91	2027	20014
92	2032	19822
93	2053	19789
94	2073	19755
95	2094	19725
96	2118	19723
97	2139	19694
98	2160	19662
99	2180	19627
100	2201	19599
101	2221	19560
102	2227	19399
103	2247	19365
104	2268	19334
105	2274	19179
106	2294	19147
107	2314	19118
108	2337	19107
109	2358	19080
110	2379	19056
111	2399	19027
112	2420	18997
113	2440	18970
114	2462	18946
115	2483	18926
116	2505	18909
117	2526	18887
118	2550	18880
119	2573	18872
120	2595	18856
121	2605	18749
122	2626	18724
123	2646	18699
124	2667	18672
125	2688	18647
126	2692	18507
127	2713	18486
128	2734	18462
129	2756	18446
130	2777	18425
131	2798	18399
132	2819	18380
133	2840	18359
134	2861	18334
135	2881	18308
136	2905	18299
137	2925	18273
138	2946	18252
139	2969	18239
140	2992	18230
141	3021	18256
142	3046	18256
143	3067	18236
144	3088	18214
145	3109	18188
146	3130	18163
147	3151	18140
148	3174	18129
149	3195	18105
150	3215	18078
151	3236	18057
152	3257	18032
153	3278	18009
154	3298	17983
155	3307	17896
156	3328	17874
157	3350	17853
158	3373	17840
159	3385	17775
160	3406	17753
161	3427	17730
162	3448	17706
163	3465	17666
164	3486	17641
165	3507	17620
166	3528	17599
167	3545	17559
168	3567	17540
169	3589	17527
170	3612	17512
171	3633	17489
172	3653	17466
173	3674	17442
174	3694	17417
